"第2層","第3層","第4層","UID","H28対応項目","H28表記","チームからの修正提案(20220317)","チームからのコメント(20220317)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 18","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 29"
"連携の基盤","患者中心の保健医療福祉","","Jkxp2HQ","","","","","","","","削除：患者・利用者・家族の価値観や関心事を、多職種及び他学部の学生に伝えられる。","","","","","","新規","統合する","（返信）統合し、削除しました。","他職種で共有できるのほうがすんなり落ちるのですが、学生レベルをやや超えますか？","","","","","２，３，４統合？","","","",""
"連携の基盤","患者中心の保健医療福祉","","Jkxp2HU","","","","","","","","削除：患者・利用者・家族を中心とした治療やケアの目標を多職種及び他学部の学生と話し合うことができる。","","","","","","新規","","（返信）統合し、削除しました。","","","","","","","","","",""
"連携の基盤","患者中心の保健医療福祉","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","Jkxp2HY","","","","","","","患者・利用者・家族に関連する情報について、多職種及び他学部の学生と共有できる。","患者・利用者・家族に関連する情報について、多職種及び他学部の学生と共有できる。","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","守秘義務が気になり、他の医療系学部としてみました。",2.0,"","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","新規","","","「伝えた内容」に限る理由がありますか？","","","","","","","","",""
"連携の基盤","職種間コミュニケーション","","Jkxp2Hc","","","","","","","","削除：自らが把握している情報を、多職種及び他学部の学生に伝えられる。","","",2.0,"","","新規","統合する","（返信）統合し、削除しました。","伝えるだけでなく、他職種から得られることもあると思います。","","","","","５，６，７統合？？","","","",""
"連携の基盤","職種間コミュニケーション","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","Jkxp2Hg","","","","","","","多職種及び他学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","多職種及び他学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","４に合わせて「他の医療系学部」としてみました。",2.0,"","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","新規","","(返信）（　）は削除しました。","非言語コミュニケーションを含む（助詞漏れ）
コミュニケーションチームとどちらでどう記載するかで整合を","","orではなくてandでよいのでは「返答や問いかけができる」","","","","","","",""
"連携の基盤","職種間コミュニケーション","","Jkxp2Hk","","","","","","","","削除：自らの見解を、他職種及び他学部の学生にも理解できる言葉で説明できる。","","",2.0,"","","新規","統合する","（返信）統合し、削除しました。","自職種の見解とまで構えずに「自身の考えを」くらいのほうが学生にはわかりやすくないでしょうか","","","","","","","","",""
"連携の基盤","医師間の紹介と相談","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","Jkxp2Ho","","","","","","","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","適切な診断・検査・治療のために、適切な施設/専門科/医師への紹介や相談ができる。","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","ママ",2.0,"","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","新規","","（返信）査読者のコメントを参考に、修正しました。","「回避可能な合併症を防ぐために」という限定表現は不要では。
適切な◯◯を目指し、・・・紹介や相談ができる。という素直な表現を","","「適切な診断・検査・治療、回避可能な合併症の予防のために」","","","","","","",""
"連携の基盤","医師間の紹介と相談","","Jkxp2Hs","","","","","","","","削除：紹介と相談のプロセスにおいて、患者・家族に予想しうる状況を共有できる。","","","","","","新規","削除する","（返信）統合し、削除しました。","これは医師間の紹介と相談の項目でしょうか？ 削除","","","","","","","","",""
"連携の基盤","医師間の紹介と相談","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","Jkxp2Hw","","","","","","","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","患者のケアと責任が継続できるよう、医師間で適切に情報（医師自身の考えも含む）を共有できる。","患者安全を考えても、まずは医療情報の共有が先ではないでしょうか？また「考え」と「期待」はレイヤーが異なるのでは？",1.0,"査読の意図が不明です。医師間の紹介や相談においては、単なる医療情報の伝達であるだけではないはずです。患者情報を伝達した上で、治療方針の検討・意見交換を行うわけで、期待・考えという言い方が適切かはわかりませんが、治療方針、マネジメントの方向性を決めることまで含むはずです。こうしたConsultationやReferralのプロセスが狭小化される改変はしない方が良いと思います。（山梨）","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","新規","削除するか？","（返信）医師観を削除し、共有できるまでとしました。","日本語をもう少しブラッシュアップ
・◯◯のために、の部分は不要で、明確な達成目標のみを記載するほうが読みやすい","","「医師間」を少し省いたほうが読みやすい。「考えや期待」は患者の？医師の？「患者のケアと責任が継続できるよう、医師間で考えや期待を共有し、責任を常に明確にできる」。","","","","","","","【宮地】共有されるべき「医師の考え」とは一体なんなのかわかりにくいので、「〜、医師間で適切に情報を共有できる」でもよいのでは。"
"協働実践","職種役割","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","Jkxp2H0","","","","","","","自らの知識や価値観を、多職種及び他学部の学生に伝えられる。","自らの知識や価値観を、多職種及び他学部の学生に伝えられる。","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","４に合わせて「他の医療系学部」としてみました。後第３層の「職業役割の貢献」は日本語としてわかりにくいのでは？「職業役割」だけでよいと思います。",2.0,"","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","新規","","（返信）文章を読みやすいように修正しました。","読みにくい
一般的なが必要か、自学部は必要か、自身ではだめか？","","","","","","","","",""
"協働実践","職種役割","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","Jkxp2H4","","","","","","","多職種及び他学部の学生の中で自らの役割を果たせる。","多職種及び他学部の学生の中で自らの役割を果たせる。","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","４に合わせて「他の医療系学部」としてみました。",2.0,"","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","新規","","（返信）査読者のコメントを参考に、修正しました。","なぜここだけ家族はなくなったのか
読みにくい　","","","","","","","","",""
"協働実践","職種役割の貢献","","Jkxp2H8","","","","","","","","削除：多職種及び他学部の学生から求められる自らの役割を担える。","","",2.0,"","","新規","統合する","（返信）統合し、削除しました。","2行上と似ています。
役割を担う、は学生レベルでしょうか。","","12との違いがわかりにくい","","","１２と統合","","","",""
"協働実践","関係性への働きかけ","","Jkxp2IA","","","","","","","","削除：多職種及び他学部の学生と対等な関係を構築できる。","","",2.0,"","","新規","削除する","（返信）統合し、削除しました。","対等とはどのような意味をもつのでしょうか？ある程度の権力勾配は医療安全のために役立つこともありますので、慎重な形容詞を","","","","","","","","",""
"協働実践","関係性への働きかけ","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","Jkxp2IE","","","","","","","多職種及び他学部の学生と一緒に学びあい、成長できる。","多職種及び他学部の学生と一緒に学びあい、成長できる。","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","一緒に→ともに、に変更しました",2.0,"","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","新規","","（返信）査読者のコメントを参考に、修正しました。","学生が、志を醸成することが卒業時に求められるでしょうか","","peer learningの機会は既に学生からあると思うので、「〜と一緒に学び合い、成長できる」レベルでよいのでは？","","","","","","",""
"協働実践","関係性への働きかけ","","Jkxp2II","","","","","","","","削除：多職種及び他学部の学生との対人葛藤が起きないようにできる。","","",2.0,"","","新規","削除する：","（返信）統合し、削除しました。","学生レベルではコミュニケーションの項目や14行目で十分では？","","起きないようにするのは現実として難しいと思うので、「〜との対人葛藤が起きうる状況で、省察的に振る舞うことができる」","","","","","","",""
"協働実践","関係性への働きかけ","対人関係や対人行動に関わる概念について理解している","Jkxp2Is","C-05-07-na-01,C-05-07-na-02,C-05-07-na-03,C-05-07-na-04","対人関係にかかわる心理的要因を概説できる。,人間関係における欲求と行動の関係を概説できる。,主な対人行動（援助、攻撃等）を概説できる。,集団の中の人間関係（競争と協同、同調、服従と抵抗、リーダーシップ）を概説できる。","","","対人関係や対人行動に関わる概念について理解している。","「。」を追記しました。","多職種及び学生間の対人関係や対人行動を説明できる。","多職種及び学生間の対人関係や対人行動を説明できる。","対人関係や対人行動に関わる概念について理解している","「学生」という言葉が占める範囲が広いことと、H28年度版が多職種に限定されていないことを反映させました。教養教育で取り扱っていた心理学についての扱いが要検討。場合によっては総合に移動でもいいかもです。",2.0,"","対人関係や対人行動に関わる概念について理解している","修正：あえて、競争、服従、抵抗は書かず、リーダーシップは上記の包含されるため削除したが、多職種連携に限らない項目のようにも感じるが…","","{not found: Jkxp2Is}","","","","","","","","","","【宮地】「〜の対人関係や対人行動に関わる概念について理解している」"
"協働実践","自職種の省察","","Jkxp2IM","","","","","","","","削除：自職種が持ちやすい価値観を説明できる。","","",2.0,"","","新規","削除する","（返信）査読者のコメントを参考に、修正しました。","持ちやすい価値観とは？
持ちがちな（悪い）価値観のように読めます
この項は不要では","","","","","削除候補と思います・","","","",""
"協働実践","自職種の省察","医師の役割を多職種及び他の医療系学部の学生に説明できる。","Jkxp2IQ","A-05-01-na-04","保健、医療、福祉と介護のチーム連携における医師の役割を説明できる。","","","","","医師の役割を多職種及び他学部の学生に説明できる。","医師の役割を多職種及び他学部の学生に説明できる。","医師の役割を多職種及び他の医療系学部の学生に説明できる。","４に合わせて「他の医療系学部」としてみました。12との整合性が要検討です。",2.0,"","医師の役割を多職種及び他の医療系学部の学生に説明できる。","修正：左記の学修目標では、保健、医療、福祉と介護のチーム連携における医師の役割を説明できると記載されていたが、患者やセッティングに応じて優先する職種が異なることもあるため、細かい文脈は方略に記載することを提案する。","","（返信）統合し、削除しました。","改めて必要でしょうか","","13とまとめて「多職種（多学部）から求められる役割を理解した上で、自職種が果たすべき役割を担うことができる」求められる役割をそのまま担えばいいわけでもなく、自職種の役割は説明できるレベル以上に行動できるレベルが求められると思うので。","","","","","","",""
"協働実践","自職種の省察","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","Jk314Eo","","","","","","","自らの価値観や言動を多職種及び他学部の学生間で相対化できる。","自らの価値観や言動を多職種及び他学部の学生間で相対化できる。","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","４に合わせて「他の医療系学部」としてみました。日本語がわかりやすくなるように修正しました。",2.0,"","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","新規","","{not found: Jk314Eo}","","","","","","","","","",""
"協働実践","他職種の理解","病院・診療所・施設などの職場環境やチームや部門などの所属に応じた他職種の役割を理解している","Jkxp2IY","A-05-01-na-02","医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）の役割分担と連携・責任体制を説明し、チームの一員として参加できる。","","","病院・診療所・施設などの職場環境やチームや部門などの所属に応じた他職種の役割を理解している。","「。」を追記しました。","他職種の役割を説明できる。","他職種の役割を説明できる。","他職種の役割を理解している。","「理解している」にしました。
春田先生に確認して、21と23を統合した案で採用","","","","修正：左記の学修目標の後半には、連携・責任体制を説明できるとなっており、学生に求める目標としては高いため、削除した。他職種も医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）と保健、医療、福祉と介護のチーム連携が別に分かれていたため、ここは統合し、他職種とし方略に記載することを提案する。","","","","","","","","他のところにあるのでは。","","","","【宮地】結局は保健、福祉、介護職についての理解が他の学習目標（総合など）に必要なので、ここは「他職種の役割を理解している」でよいのでは。"
"協働実践","他職種の理解","","Jkxp2Ic","","","","","","","","削除：他職種及び他学部の学生の価値観を説明できる。","","","","","","新規","","（返信）統合し、削除しました。","他職種の価値観まで学生が確実に説明できるでしょうか
直上の項目で十分かと思います","","「価値観を説明する」ためにはそこに至るまでに他の能力が必要で、学生には難しい（カリキュラム提供者側もどういう学習機会を設ければいいかわかりにくい）と思うので、「他職種（他学部）が異なる価値観を持ちうることに興味を持ち、対話と協働の中でそれを理解することができる」はどうでしょうか。","","","削除候補と思います。","削除でよいのではないでしょうか。","","",""
"協働実践","他職種の理解","","Jkxp2Ig","","","","","","","他職種が働く職場環境について説明できる。","他職種が働く職場環境について説明できる。","　","わざわざ職場環境を取り上げる理由は何か、チームリーダーに確認","","場や環境（診療所、在宅、大学、施設、など働く場に応じて）によってできる/求められることが変わる他職種について理解することを求めておりました。提案として、21と統合して「病院・診療所・施設などの職場環境やチームや部門などの所属に応じた他職種の役割を理解している。」はいかがでしょうか？","","新規","","（返信）査読者のコメントを参考に、修正しました。","IPEを想定しているのだとは思いますが、削除でいいと思います","","","","","削除候補と思います","削除でよいのではないでしょうか。","","",""
"","","","","","","","","","","","",11.0,"","","","","","","","","","","","","","","","",""
